enrollment_id,application_id,enrollment_date,completion_status,completion_date
105,329,2017-05-18,Completed,2017-03-11
106,330,2017-08-23,Completed,2017-03-11
107,331,2017-08-23,Completed,2017-03-06
108,332,2017-06-09,Completed,2017-08-11
109,334,2017-06-09,Completed,2017-08-12
110,335,2018-01-01,Completed,2017-12-10
111,336,2017-09-14,Completed,2017-11-15
112,338,2017-09-14,Completed,2017-11-14
113,339,2017-10-09,Completed,2017-12-09
114,340,2017-03-15,Completed,2017-03-10
115,341,2017-10-09,Completed,2017-12-13
116,342,2017-10-09,Completed,2017-12-13
117,343,2017-12-07,Completed,2017-12-11
118,344,2017-10-09,Completed,2017-12-13
119,345,2017-10-09,Withdrawn,2017-11-08
120,348,2017-08-01,Completed,2017-08-13
121,350,2017-06-09,Completed,2017-08-12
122,351,2017-05-24,Completed,2017-03-11
123,352,2017-06-04,Completed,2017-08-08
124,354,2017-05-04,Completed,2017-03-06
125,355,2017-09-02,Completed,2017-03-07
126,356,2017-06-04,Completed,2017-08-05
127,357,2017-03-04,Completed,2017-03-09
128,358,2017-10-29,Completed,2017-08-08
129,359,2017-07-24,Completed,2017-03-08
130,360,2017-10-28,Completed,2017-12-09
131,361,2017-11-16,Withdrawn,2017-08-04
132,362,2018-01-07,Completed,2017-03-07
133,363,2017-09-14,Completed,2017-11-16
134,364,2017-08-15,Completed,2017-03-09
135,365,2017-12-12,Completed,2017-03-06
136,366,2017-06-09,Completed,2017-08-10
137,367,2017-10-09,Completed,2017-12-09
138,368,2017-12-10,Completed,2017-11-16
139,369,2017-06-24,Completed,2017-03-08
140,371,2017-06-19,Completed,2017-08-09
141,372,2017-09-14,Completed,2017-11-16
142,373,2017-11-27,Completed,2017-12-12
143,374,2017-11-21,Completed,2017-11-15
144,376,2017-10-09,Completed,2017-12-12
145,377,2017-03-16,Completed,2017-03-08
146,378,2017-09-14,Completed,2017-11-16
147,379,2017-08-06,Completed,2017-03-06
148,380,2017-03-31,Completed,2017-03-06
149,602,2018-08-18,Completed,2018-10-21
150,603,2018-12-21,Withdrawn,2018-04-02
151,604,2018-09-13,Completed,2018-04-17
152,605,2018-10-26,Withdrawn,2018-09-03
153,607,2018-05-06,Completed,2018-04-12
154,608,2018-11-16,Completed,2018-12-13
155,609,2018-05-09,Withdrawn,2018-04-02
156,611,2018-08-18,Withdrawn,2018-08-27
157,612,2018-12-13,Completed,2018-10-23
158,613,2018-11-25,Withdrawn,2018-10-18
159,614,2018-10-06,Completed,2018-04-13
160,615,2018-08-18,Completed,2018-10-23
161,617,2018-10-14,Completed,2018-12-16
162,618,2018-10-22,Completed,2018-12-10
163,619,2018-10-12,Completed,2018-12-14
164,621,2018-07-23,Completed,2018-04-07
165,622,2018-07-08,Completed,2018-04-15
166,623,2018-08-18,Completed,2018-10-21
167,624,2018-04-10,Completed,2018-04-17
168,625,2018-10-12,Completed,2018-12-15
169,626,2018-10-09,Completed,2018-12-11
170,627,2018-10-12,Completed,2018-12-15
171,628,2018-11-30,Completed,2018-04-12
172,629,2018-05-18,Completed,2018-04-12
173,630,2018-09-19,Completed,2018-10-19
174,631,2018-10-12,Withdrawn,2018-12-10
175,632,2018-07-04,Completed,2018-04-12
176,633,2018-10-09,Completed,2018-12-12
177,635,2018-11-04,Completed,2018-12-16
178,637,2018-10-09,Completed,2018-12-11
179,638,2018-10-09,Withdrawn,2018-10-27
180,640,2018-07-03,Completed,2018-09-04
181,641,2018-10-09,Completed,2018-12-14
182,644,2018-10-16,Completed,2018-09-08
183,646,2018-10-12,Completed,2018-12-15
184,647,2018-12-08,Completed,2018-04-13
185,648,2018-07-03,Completed,2018-09-03
186,649,2018-05-31,Completed,2018-04-02
187,650,2018-10-09,Completed,2018-12-12
188,651,2018-07-03,Completed,2018-09-07
189,652,2018-05-06,Completed,2018-04-13
190,653,2018-10-09,Completed,2018-12-13
191,654,2018-04-30,Completed,2018-04-16
192,655,2018-08-18,Completed,2018-10-22
193,656,2018-12-06,Completed,2018-09-04
194,657,2018-08-30,Completed,2018-10-18
195,658,2018-07-03,Completed,2018-09-03
196,659,2018-08-18,Completed,2018-10-18
197,660,2018-03-28,Completed,2018-04-05
198,661,2018-07-14,Completed,2018-04-05
199,662,2018-08-18,Completed,2018-10-23
200,663,2018-10-12,Completed,2018-12-15
201,664,2018-10-09,Completed,2018-12-13
202,665,2018-03-14,Completed,2018-04-12
203,666,2018-10-09,Completed,2018-12-14
204,667,2018-10-09,Withdrawn,2018-11-19
205,668,2018-08-24,Completed,2018-10-20
206,669,2018-10-09,Completed,2018-12-10
207,670,2018-11-29,Completed,2018-04-06
208,671,2018-02-12,Completed,2018-04-14
209,673,2018-08-18,Completed,2018-10-20
210,674,2018-11-30,Completed,2018-04-13
211,676,2018-12-19,Completed,2018-09-07
212,677,2018-10-09,Completed,2018-12-09
213,678,2018-10-24,Completed,2018-12-14
214,679,2018-07-03,Completed,2018-09-04
215,682,2018-10-12,Completed,2018-12-15
216,683,2018-12-20,Withdrawn,2018-12-12
217,684,2018-10-25,Completed,2018-12-14
218,686,2018-08-26,Withdrawn,2018-09-03
219,687,2018-10-09,Completed,2018-12-09
220,688,2018-12-30,Completed,2018-04-07
221,689,2019-01-01,Completed,2018-04-03
222,690,2018-02-25,Completed,2018-04-04
223,691,2018-08-18,Completed,2018-10-20
224,692,2018-07-03,Completed,2018-09-08
225,693,2018-10-09,Completed,2018-12-09
226,694,2018-10-12,Completed,2018-12-17
227,695,2018-08-18,Completed,2018-10-22
228,696,2018-10-03,Completed,2018-10-22
229,699,2018-04-24,Completed,2018-04-16
230,701,2018-02-24,Completed,2018-04-02
231,702,2018-07-14,Completed,2018-09-07
232,703,2018-10-09,Completed,2018-12-09
233,705,2018-08-18,Completed,2018-10-22
234,706,2018-08-18,Completed,2018-10-21
235,707,2018-10-09,Completed,2018-12-10
236,708,2018-05-06,Completed,2018-04-03
237,709,2018-10-09,Completed,2018-12-11
238,711,2018-12-18,Completed,2018-04-12
239,712,2018-11-20,Completed,2018-09-07
240,713,2018-02-02,Completed,2018-04-05
241,714,2018-12-15,Withdrawn,2018-12-12
242,716,2018-09-14,Completed,2018-04-06
243,717,2018-09-15,Completed,2018-09-05
244,719,2018-08-18,Completed,2018-10-22
245,720,2018-10-29,Completed,2018-04-02
246,721,2018-12-24,Completed,2018-12-09
247,722,2018-11-02,Completed,2018-10-20
248,1051,2019-10-11,Completed,2019-07-04
249,1052,2019-09-08,Withdrawn,2019-10-01
250,1053,2019-07-20,Completed,2019-08-07
251,1054,2019-09-08,Completed,2019-11-13
252,1055,2019-09-08,Completed,2019-11-08
253,1056,2019-09-08,Completed,2019-11-10
254,1058,2019-09-08,Completed,2019-11-12
255,1059,2019-06-05,Withdrawn,2019-06-09
256,1060,2019-09-08,Completed,2019-11-09
257,1063,2019-11-15,Withdrawn,2019-06-09
258,1064,2019-11-22,Completed,2019-06-10
259,1065,2020-01-03,Completed,2019-08-08
260,1066,2019-11-29,Completed,2019-11-08
261,1068,2019-10-26,Completed,2019-07-05
262,1069,2019-12-02,Completed,2019-08-09
263,1070,2019-05-05,Completed,2019-04-17
264,1071,2019-06-06,Completed,2019-08-11
265,1072,2019-04-06,Completed,2019-04-14
266,1074,2019-05-03,Withdrawn,2019-06-08
267,1076,2019-05-26,Completed,2019-04-18
268,1077,2019-04-09,Completed,2019-06-11
269,1078,2019-09-27,Completed,2019-11-11
270,1079,2019-06-06,Completed,2019-08-08
271,1080,2019-04-09,Completed,2019-04-25
272,1081,2019-11-13,Completed,2019-11-11
273,1083,2019-07-28,Completed,2019-07-03
274,1084,2019-12-13,Completed,2019-07-04
275,1085,2019-05-03,Completed,2019-07-04
276,1086,2019-08-26,Completed,2019-06-09
277,1087,2019-05-23,Completed,2019-04-16
278,1088,2020-01-09,Completed,2019-11-12
279,1089,2019-09-04,Completed,2019-06-14
280,1090,2019-09-08,Completed,2019-11-13
281,1092,2019-06-23,Completed,2019-08-06
282,1093,2019-06-06,Completed,2019-08-10
283,1094,2019-04-11,Completed,2019-04-14
284,1095,2019-11-19,Completed,2019-07-06
285,1096,2019-09-08,Completed,2019-11-13
286,1097,2019-04-09,Withdrawn,2019-04-20
287,1098,2019-05-24,Completed,2019-06-11
288,1099,2019-05-03,Completed,2019-07-05
289,1100,2019-03-28,Completed,2019-04-16
290,1101,2019-06-01,Completed,2019-07-08
291,1102,2019-07-21,Completed,2019-06-09
292,1103,2019-06-23,Completed,2019-07-04
293,1104,2019-04-09,Completed,2019-06-13
294,1105,2019-10-10,Completed,2019-06-12
295,1108,2019-03-12,Completed,2019-04-22
296,1110,2019-10-13,Completed,2019-04-18
297,1111,2019-04-28,Completed,2019-04-17
298,1112,2019-11-28,Completed,2019-04-21
299,1113,2019-05-03,Completed,2019-07-04
300,1115,2019-06-23,Completed,2019-07-06
301,1116,2019-03-17,Completed,2019-04-22
302,1117,2019-06-06,Completed,2019-08-09
303,1118,2019-07-25,Completed,2019-06-12
304,1119,2019-02-20,Completed,2019-04-24
305,1120,2019-07-16,Completed,2019-07-07
306,1121,2019-11-10,Completed,2019-04-22
307,1122,2019-09-08,Completed,2019-11-11
308,1123,2019-12-06,Completed,2019-04-25
309,1124,2019-09-08,Completed,2019-11-10
310,1125,2019-04-09,Withdrawn,2019-04-24
311,1126,2019-10-20,Completed,2019-07-07
312,1128,2019-10-13,Completed,2019-04-15
313,1129,2019-10-25,Completed,2019-08-06
314,1130,2019-06-06,Completed,2019-08-07
315,1133,2019-06-21,Completed,2019-04-18
316,1134,2019-12-03,Completed,2019-06-14
317,1136,2019-07-29,Completed,2019-06-13
318,1137,2019-09-08,Completed,2019-11-13
319,1139,2019-07-02,Completed,2019-08-09
320,1140,2019-02-28,Completed,2019-04-20
321,1142,2019-05-03,Completed,2019-07-07
322,1143,2019-09-14,Completed,2019-06-12
323,1144,2019-07-08,Completed,2019-06-14
324,1146,2019-09-08,Completed,2019-11-09
325,1147,2019-12-16,Completed,2019-06-09
326,1148,2019-11-07,Completed,2019-04-22
327,1149,2019-10-29,Completed,2019-04-18
328,1150,2019-09-24,Completed,2019-06-09
329,1151,2019-09-18,Completed,2019-04-16
330,1152,2019-12-29,Completed,2019-04-22
331,1153,2019-11-17,Withdrawn,2019-04-13
332,1154,2019-05-02,Completed,2019-06-11
333,1155,2019-12-10,Completed,2019-11-08
334,1156,2019-06-06,Completed,2019-08-08
335,1157,2019-04-16,Completed,2019-04-24
336,1159,2019-05-07,Completed,2019-07-04
337,1160,2019-11-25,Completed,2019-04-22
338,1161,2019-10-23,Completed,2019-07-06
339,1162,2019-09-24,Completed,2019-11-12
340,1163,2019-10-02,Completed,2019-11-12
341,1164,2019-12-05,Completed,2019-04-22
342,1165,2019-06-15,Completed,2019-06-12
343,1166,2019-04-09,Completed,2019-06-12
344,1167,2019-09-27,Withdrawn,2019-06-09
345,1168,2019-10-17,Completed,2019-06-14
346,1169,2019-06-06,Withdrawn,2019-06-23
347,1170,2019-08-04,Completed,2019-04-17
348,1171,2019-10-15,Completed,2019-06-14
349,1172,2019-04-09,Completed,2019-06-11
350,1173,2019-06-06,Completed,2019-08-09
351,1174,2019-02-13,Completed,2019-04-14
352,1175,2019-09-08,Completed,2019-11-09
353,1176,2019-05-03,Completed,2019-07-08
354,1177,2019-09-29,Completed,2019-04-16
355,1178,2019-05-03,Completed,2019-07-07
356,1179,2019-05-23,Completed,2019-04-23
357,1180,2019-12-25,Completed,2019-04-15
358,1181,2019-07-20,Completed,2019-04-24
359,1182,2019-11-04,Completed,2019-04-15
360,1183,2019-10-05,Completed,2019-07-04
361,1184,2019-09-08,Withdrawn,2019-10-21
362,1185,2019-09-08,Completed,2019-11-11
363,1186,2019-10-28,Completed,2019-04-25
364,1187,2019-09-02,Completed,2019-07-06
365,1188,2019-04-21,Completed,2019-04-18
366,1190,2019-04-09,Completed,2019-06-10
367,1191,2019-10-04,Completed,2019-06-11
368,1193,2019-09-08,Completed,2019-11-12
369,1195,2019-11-14,Completed,2019-04-15
370,1196,2019-08-02,Withdrawn,2019-07-03
371,1197,2019-06-02,Completed,2019-06-11
372,1198,2019-04-22,Completed,2019-04-21
373,1199,2019-03-12,Completed,2019-04-25
374,1200,2019-07-12,Completed,2019-08-08
375,1201,2019-10-30,Completed,2019-04-16
376,1203,2019-02-20,Completed,2019-04-23
377,1204,2019-08-24,Completed,2019-08-11
378,1205,2019-07-14,Completed,2019-04-21
379,1206,2019-06-24,Withdrawn,2019-04-20
380,1208,2019-07-02,Completed,2019-06-12
381,1209,2019-12-01,Completed,2019-11-12
382,1210,2019-09-08,Completed,2019-11-08
383,1211,2019-08-02,Completed,2019-08-08
384,1212,2019-06-06,Completed,2019-04-25
385,1213,2019-07-07,Completed,2019-06-10
386,1214,2019-06-06,Completed,2019-08-09
387,1215,2019-08-07,Completed,2019-04-25
388,1751,2020-08-10,Completed,2020-09-19
389,1752,2020-07-26,Completed,2020-06-21
390,1753,2020-12-20,Completed,2020-08-15
391,1754,2020-11-29,Completed,2020-11-13
392,1756,2020-09-26,Completed,2020-06-07
393,1757,2020-07-30,Withdrawn,2020-06-19
394,1758,2020-04-09,Withdrawn,2020-05-17
395,1759,2020-09-08,Completed,2020-11-10
396,1761,2020-09-08,Withdrawn,2020-09-21
397,1762,2020-06-21,Completed,2020-04-04
398,1764,2020-04-19,Completed,2020-06-23
399,1765,2020-06-26,Completed,2020-04-06
400,1766,2020-06-07,Completed,2020-08-08
401,1767,2020-04-05,Completed,2020-06-07
402,1768,2020-08-26,Completed,2020-09-10
403,1769,2020-04-14,Completed,2020-04-03
404,1771,2020-09-26,Withdrawn,2020-04-02
405,1772,2020-06-13,Completed,2020-08-18
406,1774,2020-09-09,Completed,2020-11-14
407,1775,2020-11-25,Completed,2020-04-07
408,1776,2020-07-09,Completed,2020-09-14
409,1777,2020-08-01,Completed,2020-04-04
410,1778,2020-11-16,Completed,2020-09-23
411,1780,2020-06-07,Withdrawn,2020-08-05
412,1781,2020-07-15,Completed,2020-09-20
413,1782,2020-03-11,Completed,2020-05-13
414,1784,2020-04-25,Completed,2020-04-05
415,1785,2020-09-30,Completed,2020-11-10
416,1787,2020-12-30,Withdrawn,2020-11-08
417,1788,2020-09-08,Completed,2020-11-09
418,1789,2020-08-14,Completed,2020-06-21
419,1790,2020-07-15,Completed,2020-09-19
420,1791,2021-01-04,Withdrawn,2020-09-19
421,1792,2020-06-13,Completed,2020-08-16
422,1793,2020-11-15,Completed,2020-05-11
423,1794,2020-09-19,Completed,2020-08-11
424,1795,2020-08-28,Completed,2020-09-15
425,1796,2020-10-10,Completed,2020-09-20
426,1797,2020-06-01,Completed,2020-04-03
427,1798,2020-01-13,Completed,2020-03-13
428,1799,2020-10-08,Completed,2020-06-06
429,1800,2020-09-14,Completed,2020-08-08
430,1801,2020-12-21,Completed,2020-09-22
431,1802,2020-07-19,Completed,2020-08-07
432,1804,2020-03-25,Completed,2020-03-10
433,1806,2020-09-09,Completed,2020-11-14
434,1807,2020-06-13,Withdrawn,2020-07-15
435,1808,2020-09-08,Completed,2020-11-10
436,1809,2020-04-27,Withdrawn,2020-04-02
437,1810,2020-12-24,Completed,2020-09-16
438,1811,2020-07-15,Completed,2020-09-16
439,1812,2020-09-28,Completed,2020-08-15
440,1813,2020-07-19,Completed,2020-09-24
441,1814,2020-12-25,Completed,2020-04-02
442,1816,2020-11-25,Completed,2020-09-24
443,1817,2020-08-05,Withdrawn,2020-09-09
444,1818,2020-09-09,Withdrawn,2020-10-08
445,1819,2020-03-08,Completed,2020-05-09
446,1820,2020-11-03,Completed,2020-11-10
447,1821,2020-12-25,Completed,2020-09-16
448,1822,2020-04-26,Withdrawn,2020-05-08
449,1823,2020-07-19,Completed,2020-09-22
450,1824,2020-06-07,Completed,2020-08-09
451,1825,2020-09-16,Completed,2020-06-09
452,1826,2020-07-27,Completed,2020-03-10
453,1827,2020-09-08,Completed,2020-11-13
454,1828,2020-06-07,Withdrawn,2020-07-28
455,1829,2020-10-16,Completed,2020-11-08
456,1830,2020-09-09,Completed,2020-11-09
457,1831,2020-10-19,Completed,2020-05-09
458,1832,2021-01-08,Completed,2020-08-14
459,1833,2020-07-09,Completed,2020-09-13
460,1835,2020-04-19,Completed,2020-06-20
461,1836,2020-08-25,Completed,2020-06-24
462,1837,2020-11-10,Withdrawn,2020-08-07
463,1838,2020-07-15,Completed,2020-09-15
464,1839,2020-06-13,Completed,2020-08-15
465,1840,2020-11-28,Completed,2020-04-02
466,1841,2020-11-26,Completed,2020-06-09
467,1842,2020-05-29,Completed,2020-06-07
468,1843,2020-04-19,Completed,2020-06-19
469,1844,2020-07-30,Completed,2020-09-19
470,1846,2020-07-12,Completed,2020-06-09
471,1847,2020-04-18,Completed,2020-04-04
472,1848,2020-06-07,Completed,2020-08-11
473,1849,2020-09-13,Completed,2020-11-13
474,1850,2020-08-31,Withdrawn,2020-06-19
475,1851,2021-01-05,Completed,2020-09-20
476,1852,2020-09-09,Completed,2020-11-11
477,1853,2020-09-19,Withdrawn,2020-03-08
478,1854,2020-09-08,Completed,2020-11-11
479,1855,2020-06-13,Completed,2020-08-15
480,1856,2020-06-18,Completed,2020-06-24
481,1857,2020-06-28,Completed,2020-08-12
482,1860,2020-07-15,Completed,2020-09-15
483,1861,2020-09-11,Completed,2020-06-09
484,1862,2021-01-04,Completed,2020-04-04
485,1863,2020-11-13,Withdrawn,2020-11-08
486,1864,2020-07-09,Completed,2020-09-14
487,1865,2021-01-05,Withdrawn,2020-03-08
488,1866,2020-04-19,Completed,2020-06-23
489,1867,2020-04-28,Completed,2020-03-11
490,1868,2020-07-09,Completed,2020-09-11
491,1869,2020-03-08,Completed,2020-05-11
492,1870,2020-07-19,Completed,2020-09-19
493,1871,2020-09-09,Completed,2020-11-13
494,1872,2020-07-19,Completed,2020-09-23
495,1873,2020-12-04,Completed,2020-06-08
496,1874,2020-09-09,Completed,2020-11-14
497,1875,2020-06-01,Completed,2020-04-07
498,1878,2020-12-28,Completed,2020-09-09
499,1880,2020-08-02,Completed,2020-08-13
500,1881,2020-07-09,Completed,2020-09-13
501,1882,2020-06-13,Completed,2020-08-16
502,1883,2020-06-29,Completed,2020-03-11
503,1884,2020-09-27,Completed,2020-04-07
504,1885,2020-09-08,Completed,2020-11-09
505,1886,2020-06-14,Withdrawn,2020-05-08
506,1888,2020-10-10,Completed,2020-08-11
507,1891,2020-06-16,Completed,2020-03-09
508,1892,2020-07-19,Withdrawn,2020-08-19
509,1893,2020-02-02,Completed,2020-04-06
510,1894,2020-12-18,Completed,2020-05-11
511,1895,2020-07-19,Completed,2020-09-22
512,1896,2020-07-15,Completed,2020-09-16
513,1897,2021-01-07,Completed,2020-08-08
514,1898,2020-11-01,Completed,2020-04-03
515,1899,2020-08-17,Completed,2020-05-09
516,1900,2020-12-20,Withdrawn,2020-09-15
517,1902,2020-03-26,Completed,2020-04-02
518,1903,2020-05-07,Completed,2020-06-05
519,1904,2020-06-13,Completed,2020-08-14
520,1906,2020-04-19,Completed,2020-06-22
521,1907,2020-12-20,Completed,2020-06-09
522,1908,2020-05-29,Completed,2020-03-08
523,1910,2020-09-09,Completed,2020-11-12
524,1911,2020-11-04,Completed,2020-09-22
525,1912,2020-10-02,Completed,2020-09-17
526,1913,2020-11-17,Completed,2020-06-23
527,1914,2020-09-16,Completed,2020-06-07
528,1916,2020-07-25,Completed,2020-08-17
529,1917,2020-10-09,Completed,2020-05-12
530,1918,2020-06-13,Completed,2020-08-16
531,1919,2021-01-09,Completed,2020-08-14
532,1920,2020-10-04,Withdrawn,2020-10-29
533,1921,2020-08-19,Completed,2020-04-04
534,1922,2020-08-08,Completed,2020-09-20
535,1925,2020-09-09,Completed,2020-11-14
536,1926,2020-12-31,Completed,2020-06-22
537,1928,2020-06-13,Withdrawn,2020-06-22
538,1929,2020-09-18,Completed,2020-11-09
539,1930,2020-10-17,Completed,2020-06-06
540,1931,2020-07-15,Withdrawn,2020-08-24
541,1932,2020-11-09,Completed,2020-03-12
542,1933,2020-12-19,Completed,2020-09-19
543,1934,2020-06-07,Completed,2020-08-11
544,1935,2020-06-07,Completed,2020-08-07
545,1936,2020-09-09,Completed,2020-11-10
546,1937,2020-06-22,Withdrawn,2020-04-02
547,1939,2020-12-18,Completed,2020-11-09
548,1940,2020-10-22,Completed,2020-08-08
549,1941,2020-06-14,Completed,2020-04-03
550,1942,2020-04-21,Completed,2020-06-20
551,1943,2020-04-19,Completed,2020-06-07
552,1944,2020-11-22,Completed,2020-09-24
553,1945,2020-09-09,Completed,2020-11-11
554,1947,2021-01-03,Completed,2020-06-05
555,1948,2020-07-15,Completed,2020-09-16
556,1950,2020-11-30,Withdrawn,2020-04-02
557,1951,2020-07-24,Completed,2020-08-08
558,1952,2020-12-10,Completed,2020-09-12
559,1953,2020-11-08,Completed,2020-03-13
560,1955,2020-07-15,Completed,2020-09-19
561,1956,2020-08-31,Withdrawn,2020-09-19
562,1957,2020-07-09,Completed,2020-09-09
563,1958,2020-06-02,Completed,2020-06-10
564,1959,2020-09-30,Completed,2020-08-11
565,1960,2020-03-08,Completed,2020-05-09
566,1962,2020-09-09,Completed,2020-11-14
567,1963,2020-12-01,Completed,2020-08-16
568,1965,2020-09-08,Completed,2020-11-12
569,1966,2020-09-14,Completed,2020-09-23
570,1967,2020-09-09,Completed,2020-11-14
571,1968,2020-07-15,Completed,2020-09-19
572,1969,2020-06-22,Completed,2020-03-11
573,1970,2020-07-15,Completed,2020-09-16
574,1971,2020-12-08,Completed,2020-06-10
575,1972,2020-06-13,Completed,2020-08-17
576,1973,2020-10-10,Completed,2020-09-16
577,1974,2020-09-08,Completed,2020-06-08
578,1975,2020-09-09,Completed,2020-11-09
579,1976,2020-09-10,Completed,2020-08-09
580,1977,2020-06-13,Completed,2020-08-13
581,1978,2020-07-09,Completed,2020-09-10
582,1979,2020-07-09,Completed,2020-09-12
583,1980,2020-09-09,Completed,2020-11-14
584,1981,2020-11-24,Completed,2020-08-10
585,1982,2020-09-06,Completed,2020-09-12
586,1983,2020-10-08,Completed,2020-08-09
587,1985,2020-12-02,Completed,2020-11-09
588,1986,2020-03-30,Completed,2020-03-08
589,1987,2020-04-05,Completed,2020-06-08
590,1988,2020-07-09,Completed,2020-09-11
591,1989,2020-09-08,Completed,2020-11-09
592,1990,2020-11-09,Completed,2020-09-14
593,1991,2020-08-10,Completed,2020-09-12
594,1993,2020-12-23,Completed,2020-03-08
595,1996,2020-09-18,Completed,2020-09-19
596,1997,2020-11-17,Completed,2020-11-09
597,1999,2020-08-16,Completed,2020-03-12
598,2000,2020-07-23,Completed,2020-08-08
599,2001,2020-09-09,Completed,2020-11-13
600,2002,2020-04-19,Completed,2020-06-23
601,2004,2020-06-13,Completed,2020-08-16
602,2006,2020-11-16,Completed,2020-03-09
603,2008,2020-07-23,Completed,2020-09-18
604,2009,2020-03-11,Completed,2020-03-09
605,2010,2020-06-10,Completed,2020-03-09
606,2011,2020-10-22,Completed,2020-11-12
607,2012,2020-11-27,Withdrawn,2020-09-15
608,2014,2020-10-29,Completed,2020-08-12
609,2015,2020-06-13,Completed,2020-08-16
