cohort_id,program_id,county_id,year,cohort_name,capacity,delivery_mode,start_date,end_date
104,7,1,2025,CWITA-2025-02,60,Physical,2025-09-10,2025-11-10
105,7,3,2025,CWITA-2025-03,60,Physical,2025-09-01,2025-11-01
106,7,3,2025,CWITA-2025-04,60,Physical,2025-09-10,2025-11-10
107,5,5,2026,C-2026-01,70,Physical,2026-02-05,2026-04-05
108,5,1,2026,C-2026-02,70,Physical,2026-02-18,2026-04-18
109,5,1,2026,C-2026-03,70,Physical,2026-05-20,2026-07-20
110,5,1,2026,C-2026-04,70,Physical,2026-06-07,2026-08-07
111,5,3,2026,C-2026-05,70,Physical,2026-05-17,2026-07-17
112,5,2,2026,C-2026-06,70,Physical,2026-01-03,2026-03-03
113,5,3,2026,C-2026-07,70,Physical,2026-05-02,2026-07-02
114,5,1,2026,C-2026-08,70,Physical,2026-03-09,2026-05-09
115,5,1,2026,C-2026-09,70,Physical,2026-08-18,2026-10-18
116,5,3,2026,C-2026-10,70,Physical,2026-09-01,2026-11-01
117,5,1,2026,C-2026-11,70,Physical,2026-03-18,2026-05-18
118,6,1,2026,A-2026-01,70,Physical,2026-06-19,2026-08-19
119,6,2,2026,A-2026-02,70,Physical,2026-07-05,2026-09-05
120,6,1,2026,A-2026-03,70,Physical,2026-06-02,2026-08-02
121,6,5,2026,A-2026-04,70,Physical,2026-04-08,2026-06-08
122,7,3,2026,CWITA-2026-01,70,Physical,2026-06-18,2026-08-18
123,7,5,2026,CWITA-2026-02,70,Physical,2026-07-20,2026-09-20
124,7,3,2026,CWITA-2026-03,70,Physical,2026-04-06,2026-06-06
125,7,6,2026,CWITA-2026-04,70,Physical,2026-03-14,2026-05-14
126,7,1,2026,CWITA-2026-05,70,Physical,2026-06-14,2026-08-14
