allocation_id,cohort_id,resource_id,quantity_needed,quantity_available,allocation_date
110,16,6,28,16,2018-10-12
111,16,7,28,28,2018-10-12
112,16,8,28,24,2018-10-12
113,17,1,28,12,2018-02-02
114,17,3,28,28,2018-02-02
115,17,4,28,24,2018-02-02
116,17,5,28,26,2018-02-02
117,17,6,28,16,2018-02-02
118,17,7,28,27,2018-02-02
119,17,8,28,25,2018-02-02
120,18,1,35,18,2019-05-03
121,18,3,35,32,2019-05-03
122,18,4,35,32,2019-05-03
123,18,5,35,31,2019-05-03
124,18,6,35,21,2019-05-03
125,18,7,35,33,2019-05-03
126,18,8,35,35,2019-05-03
127,19,1,35,14,2019-02-13
128,19,3,35,34,2019-02-13
129,19,4,35,31,2019-02-13
130,19,5,35,30,2019-02-13
131,19,6,35,20,2019-02-13
132,19,7,35,32,2019-02-13
133,19,8,35,35,2019-02-13
134,20,1,35,14,2019-06-06
135,20,3,35,32,2019-06-06
136,20,4,35,30,2019-06-06
137,20,5,35,27,2019-06-06
138,20,6,35,24,2019-06-06
139,20,7,35,35,2019-06-06
140,20,8,35,31,2019-06-06
141,21,1,35,13,2019-04-09
142,21,3,35,32,2019-04-09
143,21,4,35,34,2019-04-09
144,21,5,35,31,2019-04-09
145,21,6,35,25,2019-04-09
146,21,7,35,33,2019-04-09
147,21,8,35,29,2019-04-09
148,22,1,35,14,2019-02-20
149,22,3,35,34,2019-02-20
150,22,4,35,34,2019-02-20
151,22,5,35,27,2019-02-20
152,22,6,35,19,2019-02-20
153,22,7,35,32,2019-02-20
154,22,8,35,31,2019-02-20
155,23,1,35,15,2019-09-08
156,23,3,35,32,2019-09-08
157,23,4,35,31,2019-09-08
158,23,5,35,27,2019-09-08
159,23,6,35,25,2019-09-08
160,23,7,35,33,2019-09-08
161,23,8,35,30,2019-09-08
162,24,1,22,9,2020-07-09
163,24,2,22,15,2020-07-09
164,24,3,22,20,2020-07-09
165,24,7,22,20,2020-07-09
166,24,8,22,20,2020-07-09
167,25,1,22,8,2020-09-08
168,25,2,22,17,2020-09-08
169,25,3,22,20,2020-09-08
170,25,7,22,20,2020-09-08
171,25,8,22,18,2020-09-08
172,26,1,22,9,2020-01-08
173,26,2,22,16,2020-01-08
174,26,3,22,21,2020-01-08
175,26,7,22,20,2020-01-08
176,26,8,22,20,2020-01-08
177,27,1,22,11,2020-06-13
178,27,2,22,15,2020-06-13
179,27,3,22,21,2020-06-13
180,27,7,22,21,2020-06-13
181,27,8,22,22,2020-06-13
182,28,1,22,9,2020-04-19
183,28,2,22,18,2020-04-19
184,28,3,22,21,2020-04-19
185,28,7,22,21,2020-04-19
186,28,8,22,19,2020-04-19
187,29,1,22,12,2020-06-07
188,29,2,22,19,2020-06-07
189,29,3,22,21,2020-06-07
190,29,7,22,20,2020-06-07
191,29,8,22,21,2020-06-07
192,30,1,22,12,2020-07-15
193,30,2,22,20,2020-07-15
194,30,3,22,22,2020-07-15
195,30,7,22,21,2020-07-15
196,30,8,22,20,2020-07-15
197,31,1,22,11,2020-03-08
198,31,2,22,17,2020-03-08
199,31,3,22,20,2020-03-08
200,31,7,22,20,2020-03-08
201,31,8,22,18,2020-03-08
202,32,1,22,8,2020-09-09
203,32,2,22,19,2020-09-09
204,32,3,22,21,2020-09-09
205,32,7,22,20,2020-09-09
206,32,8,22,19,2020-09-09
207,33,1,22,9,2020-07-19
208,33,2,22,17,2020-07-19
209,33,3,22,22,2020-07-19
210,33,7,22,21,2020-07-19
211,33,8,22,20,2020-07-19
212,34,1,22,10,2020-04-05
213,34,2,22,17,2020-04-05
214,34,3,22,20,2020-04-05
215,34,7,22,20,2020-04-05
216,34,8,22,18,2020-04-05
217,35,1,22,10,2020-02-02
218,35,2,22,16,2020-02-02
219,35,3,22,22,2020-02-02
220,35,7,22,21,2020-02-02
221,35,8,22,19,2020-02-02
222,36,1,24,11,2021-03-06
223,36,3,24,24,2021-03-06
224,36,4,24,21,2021-03-06
225,36,5,24,21,2021-03-06
226,36,6,24,13,2021-03-06
227,36,7,24,23,2021-03-06
228,36,8,24,20,2021-03-06
229,37,1,24,12,2021-07-20
230,37,3,24,24,2021-07-20
231,37,4,24,23,2021-07-20
232,37,5,24,22,2021-07-20
233,37,6,24,18,2021-07-20
234,37,7,24,24,2021-07-20
235,37,8,24,20,2021-07-20
236,38,1,24,9,2021-07-20
237,38,3,24,22,2021-07-20
238,38,4,24,24,2021-07-20
239,38,5,24,20,2021-07-20
240,38,6,24,17,2021-07-20
241,38,7,24,23,2021-07-20
242,38,8,24,24,2021-07-20
243,39,1,24,13,2021-09-09
244,39,3,24,22,2021-09-09
245,39,4,24,22,2021-09-09
246,39,5,24,21,2021-09-09
247,39,6,24,13,2021-09-09
248,39,7,24,22,2021-09-09
249,39,8,24,21,2021-09-09
250,40,1,24,10,2021-01-04
251,40,3,24,22,2021-01-04
252,40,4,24,21,2021-01-04
253,40,5,24,20,2021-01-04
254,40,6,24,13,2021-01-04
255,40,7,24,23,2021-01-04
256,40,8,24,24,2021-01-04
257,41,1,24,13,2021-09-09
258,41,3,24,22,2021-09-09
259,41,4,24,22,2021-09-09
260,41,5,24,22,2021-09-09
261,41,6,24,18,2021-09-09
262,41,7,24,22,2021-09-09
263,41,8,24,21,2021-09-09
264,42,1,24,11,2021-06-04
265,42,3,24,23,2021-06-04
266,42,4,24,23,2021-06-04
267,42,5,24,22,2021-06-04
268,42,6,24,12,2021-06-04
269,42,7,24,22,2021-06-04
270,42,8,24,19,2021-06-04
271,43,1,24,11,2021-03-15
272,43,3,24,22,2021-03-15
273,43,4,24,23,2021-03-15
274,43,5,24,21,2021-03-15
275,43,6,24,14,2021-03-15
276,43,7,24,22,2021-03-15
277,43,8,24,21,2021-03-15
278,44,1,24,11,2021-05-17
279,44,3,24,24,2021-05-17
280,44,4,24,21,2021-05-17
281,44,5,24,20,2021-05-17
282,44,6,24,16,2021-05-17
283,44,7,24,22,2021-05-17
284,44,8,24,20,2021-05-17
285,45,1,24,13,2021-09-04
286,45,3,24,24,2021-09-04
287,45,4,24,24,2021-09-04
288,45,5,24,22,2021-09-04
289,45,6,24,13,2021-09-04
290,45,7,24,23,2021-09-04
291,45,8,24,24,2021-09-04
292,46,1,32,14,2022-05-17
293,46,3,32,31,2022-05-17
294,46,4,32,28,2022-05-17
295,46,5,32,30,2022-05-17
296,46,6,32,22,2022-05-17
297,46,7,32,31,2022-05-17
298,46,8,32,31,2022-05-17
299,47,1,32,14,2022-03-12
300,47,3,32,31,2022-03-12
301,47,4,32,29,2022-03-12
302,47,5,32,29,2022-03-12
303,47,6,32,24,2022-03-12
304,47,7,32,30,2022-03-12
305,47,8,32,29,2022-03-12
306,48,1,32,14,2022-09-17
307,48,3,32,30,2022-09-17
308,48,4,32,29,2022-09-17
309,48,5,32,25,2022-09-17
310,48,6,32,21,2022-09-17
311,48,7,32,31,2022-09-17
312,48,8,32,32,2022-09-17
313,49,1,32,15,2022-10-11
314,49,3,32,32,2022-10-11
315,49,4,32,32,2022-10-11
316,49,5,32,25,2022-10-11
317,49,6,32,18,2022-10-11
318,49,7,32,31,2022-10-11
319,49,8,32,26,2022-10-11
320,50,1,32,16,2022-02-12
321,50,3,32,31,2022-02-12
322,50,4,32,28,2022-02-12
323,50,5,32,29,2022-02-12
324,50,6,32,21,2022-02-12
325,50,7,32,29,2022-02-12
326,50,8,32,28,2022-02-12
327,51,1,32,12,2022-05-08
328,51,3,32,32,2022-05-08
329,51,4,32,32,2022-05-08
330,51,5,32,27,2022-05-08
331,51,6,32,17,2022-05-08
332,51,7,32,30,2022-05-08
333,51,8,32,29,2022-05-08
334,52,1,32,15,2022-10-03
335,52,3,32,29,2022-10-03
336,52,4,32,29,2022-10-03
337,52,5,32,27,2022-10-03
338,52,6,32,25,2022-10-03
339,52,7,32,32,2022-10-03
340,52,8,32,29,2022-10-03
341,53,1,32,15,2022-08-03
342,53,3,32,30,2022-08-03
343,53,4,32,31,2022-08-03
344,53,5,32,28,2022-08-03
345,53,6,32,20,2022-08-03
346,53,7,32,30,2022-08-03
347,53,8,32,28,2022-08-03
348,54,1,32,13,2022-09-05
349,54,3,32,29,2022-09-05
350,54,4,32,28,2022-09-05
351,54,5,32,24,2022-09-05
352,54,6,32,25,2022-09-05
353,54,7,32,30,2022-09-05
354,54,8,32,28,2022-09-05
355,55,1,32,15,2022-08-18
356,55,3,32,32,2022-08-18
357,55,4,32,28,2022-08-18
358,55,5,32,28,2022-08-18
359,55,6,32,18,2022-08-18
360,55,7,32,30,2022-08-18
361,55,8,32,27,2022-08-18
362,56,1,32,14,2022-09-20
363,56,3,32,30,2022-09-20
364,56,4,32,29,2022-09-20
365,56,5,32,29,2022-09-20
366,56,6,32,25,2022-09-20
367,56,7,32,30,2022-09-20
368,56,8,32,31,2022-09-20
369,57,1,32,12,2022-04-18
370,57,3,32,30,2022-04-18
371,57,4,32,29,2022-04-18
372,57,5,32,29,2022-04-18
373,57,6,32,20,2022-04-18
374,57,7,32,30,2022-04-18
375,57,8,32,26,2022-04-18
376,58,1,40,18,2023-04-10
377,58,3,40,38,2023-04-10
378,58,4,40,39,2023-04-10
379,58,5,40,31,2023-04-10
380,58,6,40,25,2023-04-10
381,58,7,40,40,2023-04-10
382,58,8,40,33,2023-04-10
383,59,1,40,21,2023-06-15
384,59,3,40,38,2023-06-15
385,59,4,40,37,2023-06-15
386,59,5,40,31,2023-06-15
387,59,6,40,22,2023-06-15
388,59,7,40,36,2023-06-15
389,59,8,40,35,2023-06-15
390,60,1,40,16,2023-08-04
391,60,3,40,37,2023-08-04
392,60,4,40,34,2023-08-04
393,60,5,40,33,2023-08-04
394,60,6,40,28,2023-08-04
395,60,7,40,39,2023-08-04
396,60,8,40,38,2023-08-04
397,61,1,40,17,2023-02-11
398,61,3,40,38,2023-02-11
399,61,4,40,36,2023-02-11
400,61,5,40,35,2023-02-11
401,61,6,40,29,2023-02-11
402,61,7,40,37,2023-02-11
403,61,8,40,35,2023-02-11
404,62,1,40,17,2023-09-08
405,62,3,40,37,2023-09-08
406,62,4,40,37,2023-09-08
407,62,5,40,35,2023-09-08
408,62,6,40,26,2023-09-08
409,62,7,40,37,2023-09-08
410,62,8,40,37,2023-09-08
411,63,1,40,17,2023-01-03
412,63,3,40,39,2023-01-03
413,63,4,40,40,2023-01-03
414,63,5,40,31,2023-01-03
415,63,6,40,23,2023-01-03
416,63,7,40,40,2023-01-03
417,63,8,40,37,2023-01-03
418,64,1,40,21,2023-01-08
419,64,3,40,39,2023-01-08
420,64,4,40,39,2023-01-08
421,64,5,40,32,2023-01-08
422,64,6,40,29,2023-01-08
423,64,7,40,38,2023-01-08
424,64,8,40,37,2023-01-08
425,65,1,40,21,2023-01-11
426,65,3,40,39,2023-01-11
427,65,4,40,37,2023-01-11
428,65,5,40,34,2023-01-11
429,65,6,40,31,2023-01-11
430,65,7,40,36,2023-01-11
431,65,8,40,36,2023-01-11
432,66,1,40,20,2023-04-09
433,66,3,40,39,2023-04-09
434,66,4,40,38,2023-04-09
435,66,5,40,36,2023-04-09
436,66,6,40,26,2023-04-09
437,66,7,40,36,2023-04-09
438,66,8,40,38,2023-04-09
439,67,1,40,16,2023-04-18
440,67,3,40,39,2023-04-18
441,67,4,40,40,2023-04-18
442,67,5,40,36,2023-04-18
443,67,6,40,23,2023-04-18
444,67,7,40,38,2023-04-18
445,67,8,40,32,2023-04-18
446,68,1,40,21,2023-10-19
447,68,3,40,38,2023-10-19
448,68,4,40,39,2023-10-19
449,68,5,40,37,2023-10-19
450,68,6,40,26,2023-10-19
451,68,7,40,39,2023-10-19
452,68,8,40,37,2023-10-19
453,69,1,40,15,2023-08-14
454,69,3,40,39,2023-08-14
455,69,4,40,38,2023-08-14
456,69,5,40,37,2023-08-14
457,69,6,40,31,2023-08-14
458,69,7,40,39,2023-08-14
459,69,8,40,39,2023-08-14
460,70,1,40,16,2023-02-14
461,70,3,40,37,2023-02-14
462,70,4,40,37,2023-02-14
463,70,5,40,30,2023-02-14
464,70,6,40,23,2023-02-14
465,70,7,40,37,2023-02-14
466,70,8,40,37,2023-02-14
467,71,1,40,17,2023-07-15
468,71,3,40,37,2023-07-15
469,71,4,40,37,2023-07-15
470,71,5,40,32,2023-07-15
471,71,6,40,31,2023-07-15
472,71,7,40,36,2023-07-15
473,71,8,40,33,2023-07-15
474,72,1,52,21,2024-01-04
475,72,3,52,48,2024-01-04
476,72,4,52,49,2024-01-04
477,72,5,52,41,2024-01-04
478,72,6,52,40,2024-01-04
479,72,7,52,49,2024-01-04
480,72,8,52,43,2024-01-04
481,73,1,52,22,2024-06-04
482,73,3,52,48,2024-06-04
483,73,4,52,46,2024-06-04
484,73,5,52,47,2024-06-04
485,73,6,52,27,2024-06-04
486,73,7,52,51,2024-06-04
487,73,8,52,42,2024-06-04
488,74,1,52,23,2024-04-18
489,74,3,52,49,2024-04-18
490,74,4,52,47,2024-04-18
491,74,5,52,49,2024-04-18
492,74,6,52,34,2024-04-18
493,74,7,52,52,2024-04-18
494,74,8,52,43,2024-04-18
495,75,1,52,22,2024-07-06
496,75,3,52,48,2024-07-06
497,75,4,52,51,2024-07-06
498,75,5,52,47,2024-07-06
499,75,6,52,31,2024-07-06
500,75,7,52,52,2024-07-06
501,75,8,52,46,2024-07-06
502,76,1,52,19,2024-04-03
503,76,3,52,49,2024-04-03
504,76,4,52,52,2024-04-03
505,76,5,52,43,2024-04-03
506,76,6,52,34,2024-04-03
507,76,7,52,50,2024-04-03
508,76,8,52,49,2024-04-03
509,77,1,52,27,2024-09-04
510,77,3,52,47,2024-09-04
511,77,4,52,45,2024-09-04
512,77,5,52,47,2024-09-04
513,77,6,52,29,2024-09-04
514,77,7,52,50,2024-09-04
515,77,8,52,48,2024-09-04
516,78,1,52,19,2024-09-01
517,78,3,52,50,2024-09-01
518,78,4,52,46,2024-09-01
519,78,5,52,42,2024-09-01
520,78,6,52,41,2024-09-01
521,78,7,52,51,2024-09-01
522,78,8,52,45,2024-09-01
523,79,1,52,23,2024-04-06
524,79,3,52,51,2024-04-06
525,79,4,52,51,2024-04-06
526,79,5,52,45,2024-04-06
527,79,6,52,36,2024-04-06
528,79,7,52,50,2024-04-06
529,79,8,52,46,2024-04-06
530,80,1,52,19,2024-08-07
531,80,3,52,51,2024-08-07
532,80,4,52,45,2024-08-07
533,80,5,52,48,2024-08-07
534,80,6,52,27,2024-08-07
535,80,7,52,50,2024-08-07
536,80,8,52,52,2024-08-07
537,81,1,52,22,2024-01-06
538,81,3,52,48,2024-01-06
539,81,4,52,45,2024-01-06
540,81,5,52,46,2024-01-06
541,81,6,52,39,2024-01-06
542,81,7,52,51,2024-01-06
543,81,8,52,45,2024-01-06
544,82,1,52,23,2024-07-09
545,82,3,52,48,2024-07-09
546,82,4,52,50,2024-07-09
547,82,5,52,49,2024-07-09
548,82,6,52,29,2024-07-09
549,82,7,52,51,2024-07-09
550,82,8,52,46,2024-07-09
551,83,1,52,19,2024-08-10
552,83,3,52,48,2024-08-10
553,83,4,52,49,2024-08-10
554,83,5,52,43,2024-08-10
555,83,6,52,31,2024-08-10
556,83,7,52,51,2024-08-10
557,83,8,52,42,2024-08-10
558,84,1,52,28,2024-09-16
559,84,3,52,51,2024-09-16
560,84,4,52,48,2024-09-16
561,84,5,52,40,2024-09-16
562,84,6,52,30,2024-09-16
563,84,7,52,50,2024-09-16
564,84,8,52,44,2024-09-16
565,85,1,52,25,2024-05-07
566,85,3,52,47,2024-05-07
567,85,4,52,51,2024-05-07
568,85,5,52,43,2024-05-07
569,85,6,52,34,2024-05-07
570,85,7,52,49,2024-05-07
571,85,8,52,42,2024-05-07
572,86,1,52,20,2024-10-18
573,86,3,52,52,2024-10-18
574,86,4,52,46,2024-10-18
575,86,5,52,46,2024-10-18
576,86,6,52,31,2024-10-18
577,86,7,52,51,2024-10-18
578,86,8,52,47,2024-10-18
579,87,1,52,20,2024-06-02
580,87,3,52,48,2024-06-02
581,87,4,52,46,2024-06-02
582,87,5,52,48,2024-06-02
583,87,6,52,36,2024-06-02
584,87,7,52,52,2024-06-02
585,87,8,52,47,2024-06-02
586,88,1,60,23,2025-08-17
587,88,3,60,54,2025-08-17
588,88,4,60,57,2025-08-17
589,88,5,60,48,2025-08-17
590,88,6,60,33,2025-08-17
591,88,7,60,59,2025-08-17
592,88,8,60,58,2025-08-17
593,89,1,60,27,2025-09-06
594,89,3,60,58,2025-09-06
595,89,4,60,54,2025-09-06
596,89,5,60,55,2025-09-06
597,89,6,60,47,2025-09-06
598,89,7,60,55,2025-09-06
599,89,8,60,56,2025-09-06
600,90,1,60,22,2025-09-03
601,90,3,60,60,2025-09-03
602,90,4,60,56,2025-09-03
603,90,5,60,53,2025-09-03
604,90,6,60,36,2025-09-03
605,90,7,60,58,2025-09-03
606,90,8,60,52,2025-09-03
607,91,1,60,32,2025-02-20
608,91,3,60,59,2025-02-20
609,91,4,60,53,2025-02-20
610,91,5,60,55,2025-02-20
611,91,6,60,30,2025-02-20
612,91,7,60,57,2025-02-20
613,91,8,60,58,2025-02-20
614,92,1,60,26,2025-04-13
615,92,3,60,55,2025-04-13
616,92,4,60,54,2025-04-13
617,92,5,60,48,2025-04-13
618,92,6,60,41,2025-04-13
619,92,7,60,57,2025-04-13
620,92,8,60,48,2025-04-13
621,93,1,60,25,2025-10-08
622,93,3,60,55,2025-10-08
623,93,4,60,59,2025-10-08
624,93,5,60,52,2025-10-08
625,93,6,60,48,2025-10-08
626,93,7,60,56,2025-10-08
627,93,8,60,49,2025-10-08
628,94,1,60,26,2025-01-20
629,94,3,60,55,2025-01-20
630,94,4,60,54,2025-01-20
631,94,5,60,56,2025-01-20
632,94,6,60,44,2025-01-20
633,94,7,60,58,2025-01-20
634,94,8,60,58,2025-01-20
635,95,1,60,27,2025-10-19
636,95,3,60,57,2025-10-19
637,95,4,60,58,2025-10-19
638,95,5,60,53,2025-10-19
639,95,6,60,42,2025-10-19
640,95,7,60,59,2025-10-19
641,95,8,60,58,2025-10-19
642,96,1,60,30,2025-05-07
643,96,3,60,60,2025-05-07
644,96,4,60,57,2025-05-07
645,96,5,60,50,2025-05-07
646,96,6,60,30,2025-05-07
647,96,7,60,58,2025-05-07
648,96,8,60,49,2025-05-07
649,97,1,60,31,2025-06-08
650,97,3,60,56,2025-06-08
651,97,4,60,53,2025-06-08
652,97,5,60,55,2025-06-08
653,97,6,60,35,2025-06-08
654,97,7,60,56,2025-06-08
655,97,8,60,51,2025-06-08
656,98,1,60,29,2025-03-10
657,98,3,60,54,2025-03-10
658,98,4,60,56,2025-03-10
659,98,5,60,53,2025-03-10
660,98,6,60,38,2025-03-10
661,98,7,60,59,2025-03-10
662,98,8,60,51,2025-03-10
663,99,1,60,30,2025-02-01
664,99,3,60,57,2025-02-01
665,99,4,60,57,2025-02-01
666,99,5,60,46,2025-02-01
667,99,6,60,31,2025-02-01
668,99,7,60,56,2025-02-01
669,99,8,60,58,2025-02-01
670,100,1,60,23,2025-10-04
671,100,3,60,59,2025-10-04
672,100,4,60,52,2025-10-04
673,100,5,60,54,2025-10-04
674,100,6,60,41,2025-10-04
675,100,7,60,58,2025-10-04
676,100,8,60,50,2025-10-04
677,101,1,60,22,2025-04-17
678,101,3,60,55,2025-04-17
679,101,4,60,59,2025-04-17
680,101,5,60,48,2025-04-17
681,101,6,60,48,2025-04-17
682,101,7,60,55,2025-04-17
683,101,8,60,56,2025-04-17
684,102,1,60,30,2025-06-03
685,102,3,60,55,2025-06-03
686,102,4,60,59,2025-06-03
687,102,5,60,55,2025-06-03
688,102,6,60,36,2025-06-03
689,102,7,60,59,2025-06-03
690,102,8,60,59,2025-06-03
691,103,1,60,29,2025-06-10
692,103,3,60,59,2025-06-10
693,103,4,60,60,2025-06-10
694,103,5,60,45,2025-06-10
695,103,6,60,44,2025-06-10
696,103,7,60,55,2025-06-10
697,103,8,60,58,2025-06-10
698,104,1,60,27,2025-09-10
699,104,3,60,55,2025-09-10
700,104,4,60,57,2025-09-10
701,104,5,60,53,2025-09-10
702,104,6,60,40,2025-09-10
703,104,7,60,56,2025-09-10
704,104,8,60,49,2025-09-10
705,105,1,60,22,2025-09-01
706,105,3,60,57,2025-09-01
707,105,4,60,54,2025-09-01
708,105,5,60,56,2025-09-01
709,105,6,60,36,2025-09-01
710,105,7,60,54,2025-09-01
711,105,8,60,50,2025-09-01
712,106,1,60,22,2025-09-10
713,106,3,60,59,2025-09-10
714,106,4,60,54,2025-09-10
715,106,5,60,50,2025-09-10
716,106,6,60,44,2025-09-10
717,106,7,60,56,2025-09-10
718,106,8,60,51,2025-09-10
719,107,1,70,32,2026-02-05
720,107,3,70,66,2026-02-05
721,107,4,70,68,2026-02-05
722,107,5,70,53,2026-02-05
723,107,6,70,54,2026-02-05
724,107,7,70,67,2026-02-05
725,107,8,70,61,2026-02-05
726,108,1,70,34,2026-02-18
727,108,3,70,63,2026-02-18
728,108,4,70,70,2026-02-18
729,108,5,70,60,2026-02-18
730,108,6,70,42,2026-02-18
731,108,7,70,67,2026-02-18
732,108,8,70,64,2026-02-18
733,109,1,70,30,2026-05-20
734,109,3,70,64,2026-05-20
735,109,4,70,69,2026-05-20
736,109,5,70,65,2026-05-20
737,109,6,70,50,2026-05-20
738,109,7,70,70,2026-05-20
739,109,8,70,62,2026-05-20
740,110,1,70,32,2026-06-07
741,110,3,70,68,2026-06-07
742,110,4,70,67,2026-06-07
743,110,5,70,60,2026-06-07
744,110,6,70,41,2026-06-07
745,110,7,70,70,2026-06-07
746,110,8,70,60,2026-06-07
747,111,1,70,34,2026-05-17
748,111,3,70,70,2026-05-17
749,111,4,70,60,2026-05-17
750,111,5,70,53,2026-05-17
751,111,6,70,44,2026-05-17
752,111,7,70,65,2026-05-17
753,111,8,70,56,2026-05-17
754,112,1,70,30,2026-01-03
755,112,3,70,68,2026-01-03
756,112,4,70,64,2026-01-03
757,112,5,70,59,2026-01-03
758,112,6,70,45,2026-01-03
759,112,7,70,67,2026-01-03
760,112,8,70,68,2026-01-03
761,113,1,70,29,2026-05-02
762,113,3,70,70,2026-05-02
763,113,4,70,60,2026-05-02
764,113,5,70,59,2026-05-02
765,113,6,70,40,2026-05-02
766,113,7,70,69,2026-05-02
767,113,8,70,66,2026-05-02
768,114,1,70,25,2026-03-09
769,114,3,70,67,2026-03-09
770,114,4,70,67,2026-03-09
771,114,5,70,56,2026-03-09
772,114,6,70,49,2026-03-09
773,114,7,70,69,2026-03-09
774,114,8,70,60,2026-03-09
775,115,1,70,33,2026-08-18
776,115,3,70,65,2026-08-18
777,115,4,70,60,2026-08-18
778,115,5,70,53,2026-08-18
779,115,6,70,47,2026-08-18
780,115,7,70,64,2026-08-18
781,115,8,70,63,2026-08-18
782,116,1,70,35,2026-09-01
783,116,3,70,66,2026-09-01
784,116,4,70,63,2026-09-01
785,116,5,70,64,2026-09-01
786,116,6,70,53,2026-09-01
787,116,7,70,68,2026-09-01
788,116,8,70,63,2026-09-01
789,117,1,70,26,2026-03-18
790,117,3,70,66,2026-03-18
791,117,4,70,63,2026-03-18
792,117,5,70,56,2026-03-18
793,117,6,70,43,2026-03-18
794,117,7,70,64,2026-03-18
795,117,8,70,63,2026-03-18
796,118,1,70,34,2026-06-19
797,118,3,70,69,2026-06-19
798,118,4,70,63,2026-06-19
799,118,5,70,54,2026-06-19
800,118,6,70,49,2026-06-19
801,118,7,70,68,2026-06-19
802,118,8,70,58,2026-06-19
803,119,1,70,38,2026-07-05
804,119,3,70,68,2026-07-05
805,119,4,70,70,2026-07-05
806,119,5,70,65,2026-07-05
807,119,6,70,54,2026-07-05
808,119,7,70,64,2026-07-05
809,119,8,70,65,2026-07-05
810,120,1,70,27,2026-06-02
811,120,3,70,63,2026-06-02
812,120,4,70,65,2026-06-02
813,120,5,70,55,2026-06-02
814,120,6,70,49,2026-06-02
815,120,7,70,68,2026-06-02
816,120,8,70,65,2026-06-02
817,121,1,70,35,2026-04-08
818,121,3,70,66,2026-04-08
819,121,4,70,67,2026-04-08
